Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_DEMOQA/register bookstore/button_register""))",Chrome 142.0.7444.177,,,05-12-2025 22:48:36,05-12-2025 22:48:37,0.530s,PASSED
,,,,,,,
"Test Cases/web testing/Bookstore (register, login, profile and bookstore)/login book store",Chrome 142.0.7444.177,,,05-12-2025 22:48:37,05-12-2025 22:48:56,19.061s,PASSED
"DATA BINDING - {""password"":""123$abcD"",""username"":""usagiclimber""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.177,,,05-12-2025 22:48:37,05-12-2025 22:48:40,2.991s,PASSED
"navigateToUrl(""https://demoqa.com/login"")",Chrome 142.0.7444.177,,,05-12-2025 22:48:40,05-12-2025 22:48:53,12.355s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_UserName""), username)",Chrome 142.0.7444.177,,,05-12-2025 22:48:53,05-12-2025 22:48:54,1.959s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_Password""), password)",Chrome 142.0.7444.177,,,05-12-2025 22:48:54,05-12-2025 22:48:55,0.953s,PASSED
"click(findTestObject(""Page_DEMOQA/register bookstore/button_Password_login""))",Chrome 142.0.7444.177,,,05-12-2025 22:48:55,05-12-2025 22:48:56,0.528s,PASSED
,,,,,,,
"Test Cases/web testing/Bookstore (register, login, profile and bookstore)/login book store",Chrome 142.0.7444.177,,,05-12-2025 22:48:56,05-12-2025 22:49:13,16.631s,PASSED
"DATA BINDING - {""password"":""1234354abcd"",""username"":""arisugamersboy""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.177,,,05-12-2025 22:48:56,05-12-2025 22:48:59,2.881s,PASSED
"navigateToUrl(""https://demoqa.com/login"")",Chrome 142.0.7444.177,,,05-12-2025 22:48:59,05-12-2025 22:49:09,10.000s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_UserName""), username)",Chrome 142.0.7444.177,,,05-12-2025 22:49:09,05-12-2025 22:49:11,2.367s,PASSED
"setText(findTestObject(""Page_DEMOQA/register bookstore/input_Password""), password)",Chrome 142.0.7444.177,,,05-12-2025 22:49:11,05-12-2025 22:49:12,0.897s,PASSED
"click(findTestObject(""Page_DEMOQA/register bookstore/button_Password_login""))",Chrome 142.0.7444.177,,,05-12-2025 22:49:12,05-12-2025 22:49:13,0.445s,PASSED
